drug,p_order,d_order,q_order,P_order,D_order,Q_order,MAPE,AIC
Enoxaparin,2,1,2,1,0,0,6.802690527522402,6.608368895082308
Enoxaparin,2,1,2,1,0,1,609.5400962440775,1205.807519091948
Enoxaparin,2,1,2,1,1,0,11.827016177504442,12.685467253780596
Enoxaparin,2,1,2,1,1,1,11.146815377401515,14.751674590908026
Tinzaparin,0,0,0,0,0,0,100.0,238.68410915830268
Tinzaparin,0,0,0,0,0,1,99.99999999999964,1477.4886131238532
Tinzaparin,0,0,0,0,1,0,8.342276009066868,60.194336108406155
Tinzaparin,0,0,0,0,1,1,7.835330924839437,42.473216014142686
Tinzaparin,0,0,0,1,0,0,13.218402156396824,59.96618731763016
Tinzaparin,0,0,0,1,0,1,5.358732866815802,47.818773486574486
Tinzaparin,0,0,0,1,1,0,15.96664755133636,42.88833564829568
Tinzaparin,0,0,0,1,1,1,21.181424246145728,42.85375493646854
Tinzaparin,0,0,1,0,0,0,96.56497275426182,181.65451151146473
Tinzaparin,0,0,1,0,0,1,97.59237280427787,1501.2360501701792
Tinzaparin,0,0,1,0,1,0,8.221431989593569,39.95436777955226
