drug,date,forecast,ci_lower,ci_upper
Apixaban,2030-04-01,19.39467507766093,18.23493667696927,20.554413478352593
Apixaban,2030-05-01,19.33817504702255,18.17794324638659,20.498406847658508
Apixaban,2030-06-01,19.838490157948332,18.6779585730172,20.999021742879464
Apixaban,2030-07-01,19.67682461937865,18.51255800883715,20.84109122992015
Apixaban,2030-08-01,19.380511913829096,18.216841760002357,20.544182067655836
Apixaban,2030-09-01,20.10258983748273,18.937306221238035,21.26787345372742
Apixaban,2030-10-01,19.4238863040369,18.25811802954268,20.589654578531118
Apixaban,2030-11-01,20.283364878846736,19.118369114601414,21.44836064309206
Apixaban,2030-12-01,20.430460988266706,19.264117217535265,21.596804758998147
Bemiparin,2023-01-01,1.2896990522237253,-55148639.39258477,55148641.97198288
Bemiparin,2023-02-01,1.4897452851723436,-83601088.72654666,83601091.70603724
Bemiparin,2023-03-01,1.41974528517234,-95956633.54864302,95956636.38813359
Bemiparin,2023-04-01,1.3897452851723358,-106893446.97618806,106893449.75567862
Bemiparin,2023-05-01,1.4297452851723378,-116810712.17420627,116810715.03369685
Bemiparin,2023-06-01,1.529745285172339,-125949497.56321788,125949500.62270844
Bemiparin,2023-07-01,1.4697452851723376,-134468618.7762893,134468621.71577987
Bemiparin,2023-08-01,1.2397452851723338,-142479272.13001963,142479274.6095102
Bemiparin,2023-09-01,1.509745285172336,-150062908.12844655,150062911.14793715
Bemiparin,2023-10-01,1.469745285172338,-157281308.15788996,157281311.09738052
Bemiparin,2023-11-01,1.589745285172338,-164182652.38834098,164182655.56783155
Bemiparin,2023-12-01,1.519745285172337,-170805377.13207567,170805380.17156625
Bemiparin,2024-01-01,1.339444337396062,-199071669.22094202,199071671.8998307
Bemiparin,2024-02-01,1.5394905703446808,-227408671.46345693,227408674.5424381
Bemiparin,2024-03-01,1.469490570344677,-246147999.9308406,246148002.86982173
Bemiparin,2024-04-01,1.439490570344673,-263558289.32328048,263558292.2022616
Bemiparin,2024-05-01,1.4794905703446748,-279887666.46286327,279887669.4218444
Bemiparin,2024-06-01,1.579490570344676,-295315491.9230097,295315495.0819908
Bemiparin,2024-07-01,1.5194905703446746,-309976408.4523671,309976411.4913483
Bemiparin,2024-08-01,1.2894905703446709,-323974548.2903447,323974550.8693259
Bemiparin,2024-09-01,1.559490570344673,-337392415.0889473,337392418.2079284
Bemiparin,2024-10-01,1.519490570344675,-350296696.79251033,350296699.83149153
Bemiparin,2024-11-01,1.639490570344675,-362742208.31780815,362742211.59678924
Bemiparin,2024-12-01,1.569490570344674,-374774657.28716284,374774660.42614394
Bemiparin,2025-01-01,1.389189622568399,-403437533.62316823,403437536.40154743
Bemiparin,2025-02-01,1.5892358555170176,-432922036.4653353,432922039.643807
Bemiparin,2025-03-01,1.519235855517014,-455399046.1469397,455399049.1854114
